Metal Atom,Atomic Mass of Metal,Support Material,Support Material Class,Metal Loading,Coord Env,Coord Num,Initial Conc of Catalyst,Normalised Conc of Catalyst,Pollutant,Pollutant Code,Pollutant Class,Molar Mass of Pollutant,Initial Conc of Pollutant,Normalised Conc of Pollutant,Initial Conc of Oxidant,Normalised Conc of Oxidant,Oxidant,Has non-rad,Has SO4,Has OH,Has O2,Has 1O2,Has h+,Rate Constant,Normalised Rate Constant,Degradation Efficiency,Experiment Time,Turnover Rate,Log(TOF),Pollutants degraded per min,Power of Light,Power of Light Class,Catalyst Reusablility,Reusablilty Cycles,Retention Per Cycle,Log_retention,AOP technique,DOI
Iron,55.845,Carbon Nitride,Carbon Nitride,2.03%,N,4,150,-0.246,Bisphenol A,BPA,Phenolic,228.29,20,0.06,308,0.493,PMS,1,0,0,0,1,0,0.12,0.169,99%,25,0.063626,-1.196,0.003469272,No Light,No Light,90%,3,0.94868,-0.02288,PMS,10.1016/j.cej.2023.145571
Iron,55.845,Carbon Nitride,Carbon Nitride,2.03%,N,4,150,-0.246,Sulfamethoxazole,SMX,Antibiotic,253.28,20,0.06,308,0.493,PMS,1,0,0,0,1,0,,NIL,100%,10,0.144819,-0.839,0.007896399,No Light,No Light,90%,4,0.96549,-0.01525,PMS,10.1016/j.cej.2023.145571
Iron,55.845,Carbon Nitride,Carbon Nitride,2.03%,N,4,150,-0.246,Naproxen,NPX,Pharmaceutical,230.26,20,0.06,308,0.493,PMS,1,0,0,0,1,0,,NIL,100%,10,0.159297,-0.798,0.008685833,No Light,No Light,90%,5,0.974,-0.01144,PMS,10.1016/j.cej.2023.145571
Iron,55.845,Carbon Nitride,Carbon Nitride,2.03%,N,4,150,-0.246,Phenol,PE,Phenolic,94.11,20,0.06,308,0.493,PMS,1,0,0,0,1,0,,NIL,100%,10,0.389755,-0.409,0.021251727,No Light,No Light,90%,6,0.97915,-0.00915,PMS,10.1016/j.cej.2023.145571
Iron,55.845,"O, N-doped porous carbon",Carbon,2.00%,Mixed,4,50,-0.684,Sulfamethoxazole,SMX,Antibiotic,253.28,10,-0.404,15,-0.782,PMS,1,1,1,0,1,0,0.086,0.233,96.80%,40,0.053358,-1.273,0.000955464,No Light,No Light,90%,5,0.974,-0.01144,PMS,10.1016/j.jhazmat.2023.131333
Iron,55.845,Carbon Nitride,Carbon Nitride,4.07%,N,4.2,100,-0.465,Tetracycline,TC,Antibiotic,444.43,10,-0.404,77,-0.512,PMS,1,1,1,1,1,0,0.0675,0.603,93%,40,0.007178,-2.144,0.000523142,No Light,No Light,88%,4,0.95828,-0.01851,PMS,10.1016/j.cej.2021.130803
Iron,55.845,Carbon Nitride,Carbon Nitride,3.77%,N,4,100,-0.465,O-Phenylphenol,OPP,Phenolic,170.21,10,-0.404,400,0.893,PMS,1,0,0,0,0,0,0.5213,0.072,100%,30,0.029009,-1.537,0.001958365,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2021.120714
Iron,55.845,Carbon Nitride,Carbon Nitride,3.77%,N,4,100,-0.465,Phenol,PE,Phenolic,94.11,10,-0.404,400,0.893,PMS,1,0,0,0,0,0,0.0096,3.927,100%,30,0.052467,-1.28,0.003541955,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2021.120714
Iron,55.845,Carbon Nitride,Carbon Nitride,3.77%,N,4,100,-0.465,"2,4,6-Trichlorophenol",246TCP,Phenolic,197.45,10,-0.404,400,0.893,PMS,1,0,0,0,0,0,0.5213,0.072,100%,30,0.025007,-1.602,0.001688191,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2021.120714
Iron,55.845,Carbon Nitride,Carbon Nitride,2.50%,N,,30,-0.772,Diclofenac,DCF,Pharmaceutical,296.15,5,-0.636,400,0.893,Sulfite (S(IV)),0,1,0,1,0,1,0.082,0.305,100%,60,0.020952,-1.679,0.000281389,1500W lamp,High (>300W),100%,4,1,0,Photo-PMS,10.1016/j.cej.2020.127167
Cobalt,58.933,UiO-66 Metal-organic Framework (MOF),MOF/COF,9.12%,O,2.2,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,20,0.06,106,-0.386,PMS,1,1,1,1,1,0,0.591,0.154,100%,10,0.051026,-1.292,0.007896399,No Light,No Light,100%,5,1,0,PMS,10.1016/j.seppur.2024.127225
Silver,107.87,"S,N-TiO2-x Nanocomposite",Metal Oxides,0.23%,N,,67,-0.61,Bisphenol A,BPA,Phenolic,228.29,15,-0.172,20,-0.76,PMS,0,1,1,0,0,0,0.032,0.072,100%,120,0.383284,-0.416,0.000547549,300W Xe lamp,High (>300W),99%,4,0.99666,-0.00145,Photo-PMS,10.1016/j.cclet.2021.08.085
Tungsten,183.84,Carbon Nitride,Carbon Nitride,2.81%,Mixed,,500,1.286,Sulfadiazine,SDZ,Antibiotic,250.28,20,0.06,122,-0.316,PMS,0,1,1,1,0,1,0.0121,2.322,82.10%,120,0.007154,-2.145,0.000546721,Osram 150W lamp,Low (<50W),78.45%,5,0.94113,-0.02635,Photo-PMS,10.1016/j.diamond.2024.111939
Cobalt,58.933,N-doped porous carbon,Carbon,6.98%,N,4,150,-0.246,Sulfamethoxazole,SMX,Antibiotic,253.28,3.9,-0.687,21,-0.756,PMS,1,1,0,0,1,0,0.26,0.268,100%,15,0.005778,-2.238,0.001026532,No Light,No Light,100%,4,1,0,PMS,10.1016/j.jhazmat.2023.132316
